import_id,source_path,imported_at,attachment_id
synth-bank-2024-01,synthetic-bank-2024-01.csv,2024-01-01T08:00:00Z,
synth-op-main-2024-01,synthetic-op-main-2024-01.csv,2024-01-01T08:01:00Z,
synth-holvi-2024-01,synthetic-holvi-2024-01.csv,2024-01-01T08:02:00Z,
synth-paypal-2024-01,synthetic-paypal-2024-01.csv,2024-01-01T08:03:00Z,
synth-bank-2024-02,synthetic-bank-2024-02.csv,2024-02-01T08:00:00Z,
synth-op-main-2024-02,synthetic-op-main-2024-02.csv,2024-02-01T08:01:00Z,
synth-holvi-2024-02,synthetic-holvi-2024-02.csv,2024-02-01T08:02:00Z,
synth-paypal-2024-02,synthetic-paypal-2024-02.csv,2024-02-01T08:03:00Z,
synth-bank-2024-03,synthetic-bank-2024-03.csv,2024-03-01T08:00:00Z,
synth-op-main-2024-03,synthetic-op-main-2024-03.csv,2024-03-01T08:01:00Z,
synth-holvi-2024-03,synthetic-holvi-2024-03.csv,2024-03-01T08:02:00Z,
synth-paypal-2024-03,synthetic-paypal-2024-03.csv,2024-03-01T08:03:00Z,
synth-bank-2024-04,synthetic-bank-2024-04.csv,2024-04-01T08:00:00Z,
synth-op-main-2024-04,synthetic-op-main-2024-04.csv,2024-04-01T08:01:00Z,
synth-holvi-2024-04,synthetic-holvi-2024-04.csv,2024-04-01T08:02:00Z,
synth-paypal-2024-04,synthetic-paypal-2024-04.csv,2024-04-01T08:03:00Z,
synth-bank-2024-05,synthetic-bank-2024-05.csv,2024-05-01T08:00:00Z,
synth-op-main-2024-05,synthetic-op-main-2024-05.csv,2024-05-01T08:01:00Z,
synth-holvi-2024-05,synthetic-holvi-2024-05.csv,2024-05-01T08:02:00Z,
synth-paypal-2024-05,synthetic-paypal-2024-05.csv,2024-05-01T08:03:00Z,
synth-bank-2024-06,synthetic-bank-2024-06.csv,2024-06-01T08:00:00Z,
synth-op-main-2024-06,synthetic-op-main-2024-06.csv,2024-06-01T08:01:00Z,
synth-holvi-2024-06,synthetic-holvi-2024-06.csv,2024-06-01T08:02:00Z,
synth-paypal-2024-06,synthetic-paypal-2024-06.csv,2024-06-01T08:03:00Z,
synth-bank-2024-07,synthetic-bank-2024-07.csv,2024-07-01T08:00:00Z,
synth-op-main-2024-07,synthetic-op-main-2024-07.csv,2024-07-01T08:01:00Z,
synth-holvi-2024-07,synthetic-holvi-2024-07.csv,2024-07-01T08:02:00Z,
synth-paypal-2024-07,synthetic-paypal-2024-07.csv,2024-07-01T08:03:00Z,
synth-bank-2024-08,synthetic-bank-2024-08.csv,2024-08-01T08:00:00Z,
synth-op-main-2024-08,synthetic-op-main-2024-08.csv,2024-08-01T08:01:00Z,
synth-holvi-2024-08,synthetic-holvi-2024-08.csv,2024-08-01T08:02:00Z,
synth-paypal-2024-08,synthetic-paypal-2024-08.csv,2024-08-01T08:03:00Z,
synth-bank-2024-09,synthetic-bank-2024-09.csv,2024-09-01T08:00:00Z,
synth-op-main-2024-09,synthetic-op-main-2024-09.csv,2024-09-01T08:01:00Z,
synth-holvi-2024-09,synthetic-holvi-2024-09.csv,2024-09-01T08:02:00Z,
synth-paypal-2024-09,synthetic-paypal-2024-09.csv,2024-09-01T08:03:00Z,
synth-bank-2024-10,synthetic-bank-2024-10.csv,2024-10-01T08:00:00Z,
synth-op-main-2024-10,synthetic-op-main-2024-10.csv,2024-10-01T08:01:00Z,
synth-holvi-2024-10,synthetic-holvi-2024-10.csv,2024-10-01T08:02:00Z,
synth-paypal-2024-10,synthetic-paypal-2024-10.csv,2024-10-01T08:03:00Z,
synth-bank-2024-11,synthetic-bank-2024-11.csv,2024-11-01T08:00:00Z,
synth-op-main-2024-11,synthetic-op-main-2024-11.csv,2024-11-01T08:01:00Z,
synth-holvi-2024-11,synthetic-holvi-2024-11.csv,2024-11-01T08:02:00Z,
synth-paypal-2024-11,synthetic-paypal-2024-11.csv,2024-11-01T08:03:00Z,
synth-bank-2024-12,synthetic-bank-2024-12.csv,2024-12-01T08:00:00Z,
synth-op-main-2024-12,synthetic-op-main-2024-12.csv,2024-12-01T08:01:00Z,
synth-holvi-2024-12,synthetic-holvi-2024-12.csv,2024-12-01T08:02:00Z,
synth-paypal-2024-12,synthetic-paypal-2024-12.csv,2024-12-01T08:03:00Z,
