attachment_id,created,description,filename,mime_type,sha256,relpath
cbcca607-834b-438f-8ddc-c3f5ed8b482c,2026-02-25,Synthetic opening balance voucher evidence,opening-2024-01-01.txt,text/plain; charset=utf-8,282409b1de7306f0c75794548e38d221330f58b69a34b178d19a25da9e90bd15,attachments/2026/02/20260225-opening-2024-01-01.txt
208b49f4-de95-4ad2-aa44-21ebf8b91ea6,2026-02-25,Synthetic invoice evidence S-9001,invoice-s9001-2024-01-10.txt,text/plain; charset=utf-8,13a8455e2adb14b592cbdc7d99d961b005863bf1a609164bb6a3b98e882456f8,attachments/2026/02/20260225-invoice-s9001-2024-01-10.txt
d4b3866f-9460-4485-a5ed-bd04d8264972,2026-02-25,Synthetic invoice evidence P-9101,invoice-p9101-2024-01-12.txt,text/plain; charset=utf-8,f931891f5f19a12408b0c8f9c1a9ad98183f8ec6cbc5fc40dcb51e0247fc58f8,attachments/2026/02/20260225-invoice-p9101-2024-01-12.txt
64dc4c0c-aba9-4c11-9a94-7b86eca0299f,2026-02-25,Synthetic bank evidence synth-b-001,bank-synth-b-001-2024-01-15.txt,text/plain; charset=utf-8,200e94180094410c1962648dbae65e5da6f153825ee4de331c55f8d81c779f67,attachments/2026/02/20260225-bank-synth-b-001-2024-01-15.txt
9b272876-0033-407d-9d72-516dbbc68994,2026-02-25,Synthetic bank evidence synth-b-002,bank-synth-b-002-2024-01-22.txt,text/plain; charset=utf-8,59780f1c75bc0c4fb487c05171db38603e5f2329bf9e6d995f13c5435710138e,attachments/2026/02/20260225-bank-synth-b-002-2024-01-22.txt
5f5b9be9-e1a9-47c5-b88c-28d9b71c7e14,2026-02-25,Synthetic bank evidence synth-b-040,bank-synth-b-040-2024-01-26.txt,text/plain; charset=utf-8,b4c614905a0dab90746a1b3cc6dae32714389cfe6e1b047495c61449e05b64ad,attachments/2026/02/20260225-bank-synth-b-040-2024-01-26.txt
4ad4968e-9443-4128-a550-7df5ffad88e0,2026-02-25,Synthetic bank evidence synth-b-041,bank-synth-b-041-2024-01-26.txt,text/plain; charset=utf-8,05e19868a89e29dab4836a048aba88e485e24976f1f7cc1dba98230c39a63c0c,attachments/2026/02/20260225-bank-synth-b-041-2024-01-26.txt
32a4a285-9870-4778-b331-77123bc25815,2026-02-25,Synthetic invoice evidence S-9004,invoice-s9004-2024-02-05.txt,text/plain; charset=utf-8,3aaeaee8ae34b6707fddc1a9d6aa13b59efb07ea55376927d957ae3eb8faef12,attachments/2026/02/20260225-invoice-s9004-2024-02-05.txt
4041df85-f4e8-4ee3-8eba-3676ba6ff02a,2026-02-25,Synthetic Verohallinto VAT application evidence 2024-01,vat-application-2024-01.txt,text/plain; charset=utf-8,dcd1654d415735a253d8193d0fcc84a34f9eb8d195763a0af8747498afa67bc9,attachments/2026/02/20260225-vat-application-2024-01.txt
122de727-4c98-481e-8e31-dd4d16ea9e64,2026-02-25,Synthetic bank evidence synth-b-010,bank-synth-b-010-2024-02-16.txt,text/plain; charset=utf-8,484c83909c08287aa65f4aae4f929657e7684532fed44ef0229617f442205178,attachments/2026/02/20260225-bank-synth-b-010-2024-02-16.txt
36c60f39-5758-4520-ac14-b1cceebe428b,2026-02-25,Synthetic bank evidence synth-b-042,bank-synth-b-042-2024-02-27.txt,text/plain; charset=utf-8,5fcb84d26f4a453489a7b6c3fbb1dc302ce36992d67ac62c41f00da351fd186d,attachments/2026/02/20260225-bank-synth-b-042-2024-02-27.txt
3f3be4fa-17da-490f-90a9-f49f1a752695,2026-02-25,Synthetic bank evidence synth-b-043,bank-synth-b-043-2024-02-27.txt,text/plain; charset=utf-8,0f5ce5815443c7323907035b117f8ea6d053848cb6565839f6f8ae72fb241ed2,attachments/2026/02/20260225-bank-synth-b-043-2024-02-27.txt
8de9c741-8d56-4c0c-a6da-96cd9ec6ef1e,2026-02-25,Synthetic invoice evidence S-9002,invoice-s9002-2024-03-05.txt,text/plain; charset=utf-8,8f70c2db5a5bd879f43652f579a47fd027b4cdf1454ba6c2ba6b1e4da80b2fbf,attachments/2026/02/20260225-invoice-s9002-2024-03-05.txt
9114f173-e82e-497e-9563-da78a781cf5a,2026-02-25,Synthetic invoice evidence P-9102,invoice-p9102-2024-03-08.txt,text/plain; charset=utf-8,7898bc750283c197affc7bac27ffb1bcd2bbafe1581334c1e81d30f9a1814de4,attachments/2026/02/20260225-invoice-p9102-2024-03-08.txt
12eb9805-4414-4563-999b-f1763a4e3b7c,2026-02-25,Synthetic Verohallinto VAT application evidence 2024-02,vat-application-2024-02.txt,text/plain; charset=utf-8,eec71fa94b4958bf360ffc30268b5a5be4224f3e84c60243ed37f42c0ff16770,attachments/2026/02/20260225-vat-application-2024-02.txt
d6bd56f1-5d5d-4a6c-9b5d-19607b017419,2026-02-25,Synthetic bank evidence synth-b-003,bank-synth-b-003-2024-03-12.txt,text/plain; charset=utf-8,1a67e78dc4b9ead1138d890e3e7eb65383030e15a91bb52f754b2c6211855a43,attachments/2026/02/20260225-bank-synth-b-003-2024-03-12.txt
b3e3474f-0b93-4b7e-b2d5-023022af76ff,2026-02-25,Synthetic bank evidence synth-b-004,bank-synth-b-004-2024-03-20.txt,text/plain; charset=utf-8,76a54ecebcb556857c7e49ff9c932a6c7a5ffe4411502afb3f65935d7f9fbcd2,attachments/2026/02/20260225-bank-synth-b-004-2024-03-20.txt
90bdfc01-2cc3-4798-825a-efc03cb149f8,2026-02-25,Synthetic bank evidence synth-b-044,bank-synth-b-044-2024-03-28.txt,text/plain; charset=utf-8,92e0e85479222935566d1461dcc683093c40747a9a7ba7ae314ae3b92bb71561,attachments/2026/02/20260225-bank-synth-b-044-2024-03-28.txt
49811b15-0c08-4fdf-8a8b-1803aec12e0e,2026-02-25,Synthetic bank evidence synth-b-045,bank-synth-b-045-2024-03-28.txt,text/plain; charset=utf-8,0c908fa595d8e8e508ae14fe11239d017ef0d7cc5a690c2e20bb4d21587e1c3f,attachments/2026/02/20260225-bank-synth-b-045-2024-03-28.txt
bbdd0e00-9121-4560-983b-c9516b2785bd,2026-02-25,Synthetic invoice evidence P-9104,invoice-p9104-2024-04-04.txt,text/plain; charset=utf-8,cf6979f64ea9eb3c7de94fd06876ea887285414b218097f6d414f8c72b589c38,attachments/2026/02/20260225-invoice-p9104-2024-04-04.txt
67cf9e5d-8c6f-464a-86a6-b4f367d58d7d,2026-02-25,Synthetic Verohallinto VAT application evidence 2024-03,vat-application-2024-03.txt,text/plain; charset=utf-8,1e60be51f6669ac683d8085354e3f0d8e86d33dd5f2e63b34269d114fb7570fe,attachments/2026/02/20260225-vat-application-2024-03.txt
1cbea4bc-4583-46e3-b2fe-d868b403074b,2026-02-25,Synthetic bank evidence synth-b-011,bank-synth-b-011-2024-04-18.txt,text/plain; charset=utf-8,8daf7a35fba93bc0f8c6d7d2694631166783f07a8475113a6863c8e5108a3baf,attachments/2026/02/20260225-bank-synth-b-011-2024-04-18.txt
66fd8595-95da-499a-b0b0-0096a1585050,2026-02-25,Synthetic bank evidence synth-b-046,bank-synth-b-046-2024-04-29.txt,text/plain; charset=utf-8,a937495fe8c11c3bf390e510554f69b19c1007c0b4183cdf6e75bbc75fc15a9e,attachments/2026/02/20260225-bank-synth-b-046-2024-04-29.txt
8db6b406-7246-4ff7-bec7-201b7f8281d7,2026-02-25,Synthetic bank evidence synth-b-047,bank-synth-b-047-2024-04-29.txt,text/plain; charset=utf-8,d02c177da39322ea6f82e957cd3dc1153b520e20a9abb7a78e8eb3d92c2a37ca,attachments/2026/02/20260225-bank-synth-b-047-2024-04-29.txt
706c2b1e-c580-46d2-9f0d-27a70434d5db,2026-02-25,Synthetic invoice evidence S-9005,invoice-s9005-2024-05-07.txt,text/plain; charset=utf-8,283b93e81f296de8081d9697ac35a2e0c7a04a1c5050ae43dc01fc526c9bf5a2,attachments/2026/02/20260225-invoice-s9005-2024-05-07.txt
15bda365-ce8d-49de-b0e6-63c4f8581a77,2026-02-25,Synthetic Verohallinto VAT application evidence 2024-04,vat-application-2024-04.txt,text/plain; charset=utf-8,c013c79a41920bb615e8042c3c45630bfd8b40a317aab8a7228bde227c69d7b2,attachments/2026/02/20260225-vat-application-2024-04.txt
865223f2-1d87-4bf1-8e84-9bd0687e2ec7,2026-02-25,Synthetic bank evidence synth-b-012,bank-synth-b-012-2024-05-20.txt,text/plain; charset=utf-8,f99dd9bb9949d5947c49ff6930b3bcc92b2e1515e77456fb73ab918da69a3889,attachments/2026/02/20260225-bank-synth-b-012-2024-05-20.txt
01f59944-b661-47b0-a924-c245dd165e92,2026-02-25,Synthetic bank evidence synth-b-048,bank-synth-b-048-2024-05-29.txt,text/plain; charset=utf-8,bb061dc4790d13e4ed30588b3c6d577015e064d0d78cd316dee1babe28fc3334,attachments/2026/02/20260225-bank-synth-b-048-2024-05-29.txt
7fb0d8b7-e24a-449c-a101-0941341416c9,2026-02-25,Synthetic bank evidence synth-b-049,bank-synth-b-049-2024-05-29.txt,text/plain; charset=utf-8,25a2bcefdec0d1adb78cf66bb80bb4b3665ca6118cf8a25bf7608e910e6de07b,attachments/2026/02/20260225-bank-synth-b-049-2024-05-29.txt
897a238e-2dae-4262-8d50-35c6f68021a9,2026-02-25,Synthetic invoice evidence P-9105,invoice-p9105-2024-06-06.txt,text/plain; charset=utf-8,4845cf9d19d5ab0fb790132a2d1083272e1bc702af60c463a57be4adbd1f320c,attachments/2026/02/20260225-invoice-p9105-2024-06-06.txt
697f31d3-95e4-45ec-9c1f-b18be39f6b3d,2026-02-25,Synthetic Verohallinto VAT application evidence 2024-05,vat-application-2024-05.txt,text/plain; charset=utf-8,921e90813420e196d4b600664cddd27b81368496ad4b6869c42b308106ff8bac,attachments/2026/02/20260225-vat-application-2024-05.txt
40907a37-cc44-40b8-803a-37ff90ebfaa2,2026-02-25,Synthetic bank evidence synth-b-013,bank-synth-b-013-2024-06-20.txt,text/plain; charset=utf-8,d6713b260aa158c72c0a86b6bd13440cf724a20f0ff0c2b25c7a9f9404973a2a,attachments/2026/02/20260225-bank-synth-b-013-2024-06-20.txt
cd20cb84-22dd-4d33-b0e7-558bdfa40530,2026-02-25,Synthetic asset acquisition evidence a1001,asset-acquire-a1001-2024-06-28.txt,text/plain; charset=utf-8,0e4aa90bfc064ebbe37be11651ca0e214267b37caae134158297404f62f3faaa,attachments/2026/02/20260225-asset-acquire-a1001-2024-06-28.txt
8e3af7dd-21b4-4bdd-bb28-e5f3c21d9ef4,2026-02-25,Synthetic bank evidence synth-b-050,bank-synth-b-050-2024-06-29.txt,text/plain; charset=utf-8,9023fc48742a9b9c4c3a0a3e1a082d72e3b4134949c9c1a82b0e0f6046d32647,attachments/2026/02/20260225-bank-synth-b-050-2024-06-29.txt
7f643a55-927d-4fb3-8d46-08b04c1f35a3,2026-02-25,Synthetic bank evidence synth-b-051,bank-synth-b-051-2024-06-29.txt,text/plain; charset=utf-8,f5c617b7f758734ec4377fa1a4e81b579aff1c366b23116ff4be8b58a4cbe74e,attachments/2026/02/20260225-bank-synth-b-051-2024-06-29.txt
cc997db1-48f1-4e79-97b6-2e01bce2a985,2026-02-25,Synthetic invoice evidence S-9006,invoice-s9006-2024-07-08.txt,text/plain; charset=utf-8,579f7f080a457d3a64bed9a3dd1ba79bdf209e956904827f5da4b9d24351c99c,attachments/2026/02/20260225-invoice-s9006-2024-07-08.txt
320230af-1905-4cba-bbce-150ceaff3c00,2026-02-25,Synthetic Verohallinto VAT application evidence 2024-06,vat-application-2024-06.txt,text/plain; charset=utf-8,f858c4f7654f384f885a2818827831820cf0fc1d2695ad6423bebd794ea4db85,attachments/2026/02/20260225-vat-application-2024-06.txt
4d1d7692-4cbc-4ca9-a7c1-0bfbbf661653,2026-02-25,Synthetic bank evidence synth-b-014,bank-synth-b-014-2024-07-22.txt,text/plain; charset=utf-8,dbde38896f7e7f0660f34be599201d4b5b6b40cab391e9eb0a814d8081cf8890,attachments/2026/02/20260225-bank-synth-b-014-2024-07-22.txt
5ba8427f-9916-4cf8-b311-cc257d084506,2026-02-25,Synthetic bank evidence synth-b-052,bank-synth-b-052-2024-07-29.txt,text/plain; charset=utf-8,1ae11eb9f915b804bd0dd1c27c3d11a44087d9fbf71daf7cb0377b22628eb6e9,attachments/2026/02/20260225-bank-synth-b-052-2024-07-29.txt
872ad83c-b78c-4340-8352-9cfa30567a3d,2026-02-25,Synthetic bank evidence synth-b-053,bank-synth-b-053-2024-07-29.txt,text/plain; charset=utf-8,fe0fab9dae576a7561a3c7137abd60b73cf9a5fa28da2aea829a44ac1476ec35,attachments/2026/02/20260225-bank-synth-b-053-2024-07-29.txt
8ded84a6-ec5f-4433-b447-2059881b12a3,2026-02-25,Synthetic invoice evidence P-9106,invoice-p9106-2024-08-05.txt,text/plain; charset=utf-8,778370817cf896f3224901a71bcec56c6c26c7294e9a6bb8579c312883830ca6,attachments/2026/02/20260225-invoice-p9106-2024-08-05.txt
9390feff-3ad6-4b79-b3b2-a0d968f01ed1,2026-02-25,Synthetic Verohallinto VAT application evidence 2024-07,vat-application-2024-07.txt,text/plain; charset=utf-8,277efaeee1ef6ea6929e6bd8ad6de87c3628418fc6c22fd90a1111cf08590faf,attachments/2026/02/20260225-vat-application-2024-07.txt
531732c3-4855-48d6-8a7a-e7be9164820a,2026-02-25,Synthetic bank evidence synth-b-015,bank-synth-b-015-2024-08-19.txt,text/plain; charset=utf-8,e65b7120798185f85504e1777cf388696d2c81269d0307974d7465df88fc48bb,attachments/2026/02/20260225-bank-synth-b-015-2024-08-19.txt
